Summary run status                                                     FAIL
               
Artifacts dir                                                          2022-04-24_05-29-07 
OS                                                                     Linux               
DC Apps Performance Toolkit version                                    6.1.0 (OK: Toolkit is up to date)
Application                                                            jira 8.20.4         
Dataset info                                                           1055025 issues      
Application nodes count                                                Server              
Concurrency                                                            200                 
Expected test run duration from yml file                               2700 sec            
Actual test run duration                                               126 sec             
Finished                                                               (False, 'Actual test duration 126 sec < than expected test_duration 2700 sec.')
Compliant                                                              (False, 'Test run duration 126 sec < than minimum test duration 2700 sec.')
Success                                                                (False, 'One or more actions have success rate < 95.0 %.')
Has app-specific actions                                               False               

Action                                                                Success Rate        90th Percentile     Status              
jmeter_login_and_view_dashboard                                        100.0               1.62                OK                  
jmeter_view_dashboard                                                  100.0               0.25                OK                  
jmeter_create_issue:open_quick_create                                  100.0               0.23                OK                  
jmeter_view_scrum_board                                                100.0               0.31                OK                  
jmeter_view_issue                                                      100.0               0.57                OK                  
jmeter_view_kanban_board                                               100.0               0.48                OK                  
jmeter_view_backlog                                                    100.0               0.79                OK                  
jmeter_search_jql                                                      100.0               0.97                OK                  
jmeter_create_issue:fill_and_submit_issue_form                         100.0               0.52                OK                  
jmeter_browse_projects                                                 100.0               0.14                OK                  
jmeter_edit_issue:open_editor                                          100.0               0.32                OK                  
jmeter_edit_issue:save_edit                                            100.0               1.94                OK                  
jmeter_view_project_summary                                            100.0               0.29                OK                  
jmeter_add_comment:open_comment                                        100.0               0.17                OK                  
jmeter_add_comment:save_comment                                        100.0               1.35                OK                  
jmeter_browse_boards                                                   100.0               0.12                OK                  
selenium_login:open_login_page                                         100.0               3.68                OK                  
selenium_login:login_and_view_dashboard                                100.0               3.95                OK                  
selenium_login                                                         100.0               7.63                OK                  
selenium_browse_projects_list                                          100.0               0.62                OK                  
selenium_browse_boards_list                                            100.0               3.76                OK                  
selenium_create_issue:open_quick_create                                50.0                1.1                 Fail                
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form     100.0               0.74                OK                  
selenium_create_issue:fill_and_submit_issue_form                       100.0               1.17                OK                  
selenium_create_issue                                                  50.0                2.15                Fail                
selenium_edit_issue:open_edit_issue_form                               100.0               1.67                OK                  
selenium_edit_issue:save_edit_issue_form                               0.0                 1.08                Fail                
selenium_edit_issue                                                    0.0                 3.27                Fail                
selenium_save_comment:open_comment_form                                100.0               0.45                OK                  
selenium_save_comment:submit_form                                      0.0                 1.09                Fail                
selenium_save_comment                                                  0.0                 1.97                Fail                
selenium_search_jql                                                    100.0               10.7                OK                  
selenium_view_scrum_board_backlog                                      100.0               4.87                OK                  
selenium_view_scrum_board                                              100.0               4.16                OK                  
selenium_view_kanban_board                                             100.0               0.9                 OK                  
selenium_view_dashboard                                                100.0               0.39                OK                  
selenium_view_issue                                                    100.0               2.39                OK                  
selenium_project_summary                                               100.0               2.66                OK                  
selenium_log_out                                                       0.0                 1.25                Fail                
