Summary run status                                                     FAIL
               
Artifacts dir                                                          2022-04-29_23-29-42 
OS                                                                     Linux               
DC Apps Performance Toolkit version                                    6.1.0 (OK: Toolkit is up to date)
Application                                                            jira 8.20.4         
Dataset info                                                           1057156 issues      
Application nodes count                                                2                   
Concurrency                                                            200                 
Expected test run duration from yml file                               2700 sec            
Actual test run duration                                               79 sec              
Finished                                                               (False, 'Actual test duration 79 sec < than expected test_duration 2700 sec.')
Compliant                                                              (False, 'Test run duration 79 sec < than minimum test duration 2700 sec.')
Success                                                                (False, 'One or more actions have success rate < 95.0 %.')
Has app-specific actions                                               False               

Action                                                                Success Rate        90th Percentile     Status              
jmeter_login_and_view_dashboard                                        100.0               0.42                OK                  
jmeter_view_dashboard                                                  100.0               0.1                 OK                  
jmeter_view_issue                                                      100.0               0.28                OK                  
jmeter_search_jql                                                      100.0               1.16                OK                  
jmeter_view_scrum_board                                                65.0                0.2                 Fail                
jmeter_create_issue:open_quick_create                                  100.0               0.41                OK                  
jmeter_view_backlog                                                    64.0                0.46                Fail                
jmeter_create_issue:fill_and_submit_issue_form                         100.0               0.77                OK                  
jmeter_view_kanban_board                                               43.99999999999999   0.17                Fail                
jmeter_browse_projects                                                 100.0               0.08                OK                  
jmeter_edit_issue:open_editor                                          100.0               0.5                 OK                  
jmeter_edit_issue:save_edit                                            46.0                0.47                Fail                
jmeter_view_project_summary                                            100.0               0.21                OK                  
jmeter_add_comment:open_comment                                        100.0               0.13                OK                  
jmeter_add_comment:save_comment                                        67.0                0.39                Fail                
selenium_login:open_login_page                                         100.0               0.5                 OK                  
selenium_login:login_and_view_dashboard                                100.0               0.9                 OK                  
selenium_login                                                         100.0               1.4                 OK                  
selenium_browse_projects_list                                          100.0               0.42                OK                  
selenium_browse_boards_list                                            0.0                 41.36               Fail                
selenium_create_issue:open_quick_create                                100.0               0.86                OK                  
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form     100.0               0.58                OK                  
selenium_create_issue:fill_and_submit_issue_form                       100.0               1.1                 OK                  
selenium_create_issue                                                  100.0               1.96                OK                  
selenium_edit_issue:open_edit_issue_form                               100.0               1.17                OK                  
selenium_edit_issue:save_edit_issue_form                               100.0               0.59                OK                  
selenium_edit_issue                                                    100.0               2.42                OK                  
selenium_save_comment:open_comment_form                                100.0               0.33                OK                  
selenium_save_comment:submit_form                                      100.0               1.81                OK                  
selenium_save_comment                                                  100.0               2.32                OK                  
selenium_search_jql                                                    100.0               2.34                OK                  
