Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,480,363,499,744,4059,277,6628,0.0,False
jmeter_view_issue,14414,181,175,204,223,282,136,2654,0.0,False
jmeter_search_jql,4666,456,442,507,536,649,363,2570,0.0,False
jmeter_view_dashboard,4233,88,83,101,115,179,63,412,0.0,False
jmeter_create_issue:open_quick_create,1697,88,83,100,114,180,68,1244,0.0,False
jmeter_view_scrum_board,3390,129,136,165,176,252,75,2036,0.0,False
jmeter_view_backlog,2533,355,350,398,424,527,278,4079,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,165,162,185,194,233,124,2857,0.0,False
jmeter_view_kanban_board,2956,136,120,205,216,262,99,812,0.0,False
jmeter_browse_projects,3799,56,53,62,67,96,45,312,0.0,False
jmeter_edit_issue:open_editor,2113,95,90,111,123,174,71,844,0.0,False
jmeter_edit_issue:save_edit,2113,230,213,278,326,442,119,889,0.0,False
jmeter_view_project_summary,1267,113,108,128,140,217,81,358,0.0,False
jmeter_add_comment:open_comment,841,67,63,79,90,141,52,596,0.0,False
jmeter_add_comment:save_comment,841,235,229,265,282,336,186,651,0.0,False
jmeter_browse_boards,414,69,65,77,86,117,54,197,0.0,False
selenium_login:open_login_page,191,164,126,135,142,2242,113,2724,0.0,False
selenium_login:login_and_view_dashboard,191,618,550,590,641,2883,496,3992,0.0,False
selenium_login,191,784,676,721,778,5138,628,6597,0.0,False
selenium_browse_projects_list,191,278,270,290,302,531,229,829,0.0,False
selenium_browse_boards_list,191,338,278,293,338,2496,259,4223,0.0,False
selenium_create_issue:open_quick_create,191,648,646,662,667,690,603,893,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,191,600,600,609,612,621,587,675,0.0,False
selenium_create_issue:fill_and_submit_issue_form,191,1200,1113,1163,1172,3494,1049,3572,0.0,False
selenium_create_issue,191,1849,1760,1814,1837,4144,1658,4216,0.0,False
selenium_edit_issue:open_edit_issue_form,191,632,667,703,715,935,444,1423,0.0,False
selenium_edit_issue:save_edit_issue_form,191,606,570,740,757,783,488,798,0.0,False
selenium_edit_issue,191,1550,1509,1684,1708,1971,1395,2884,0.0,False
selenium_save_comment:open_comment_form,191,400,391,484,490,504,246,538,0.0,False
selenium_save_comment:submit_form,191,737,685,729,745,2259,594,3923,0.0,False
selenium_save_comment,191,1244,1189,1280,1325,2696,1058,4553,0.0,False
selenium_search_jql,191,1248,1198,1261,1292,3022,1128,3882,0.0,False
selenium_view_scrum_board_backlog,191,1100,1063,1209,1216,3321,791,3882,0.0,False
selenium_view_scrum_board,191,859,871,920,990,2757,319,2928,0.0,False
selenium_view_kanban_board,191,882,884,1227,1257,1407,352,1432,0.0,False
selenium_view_dashboard,191,436,398,591,650,708,208,766,0.0,False
selenium_view_issue,191,577,570,647,668,722,471,1532,0.0,False
selenium_project_summary,191,467,428,540,562,1987,340,2145,0.0,False
selenium_log_out,191,379,372,414,436,484,320,607,0.0,False
