Summary run status                                                     OK
                 
Artifacts dir                                                          2022-04-30_08-20-37 
OS                                                                     Linux               
DC Apps Performance Toolkit version                                    6.1.0 (OK: Toolkit is up to date)
Application                                                            jira 8.20.4         
Dataset info                                                           1061814 issues      
Application nodes count                                                4                   
Concurrency                                                            200                 
Expected test run duration from yml file                               2700 sec            
Actual test run duration                                               2897 sec            
Finished                                                               (True, 'OK')        
Compliant                                                              (True, 'OK')        
Success                                                                (True, 'OK')        
Has app-specific actions                                               False               

Action                                                                Success Rate        90th Percentile     Status              
jmeter_login_and_view_dashboard                                        100.0               0.5                 OK                  
jmeter_view_issue                                                      100.0               0.2                 OK                  
jmeter_search_jql                                                      100.0               0.51                OK                  
jmeter_view_dashboard                                                  100.0               0.1                 OK                  
jmeter_create_issue:open_quick_create                                  100.0               0.1                 OK                  
jmeter_view_scrum_board                                                100.0               0.17                OK                  
jmeter_view_backlog                                                    100.0               0.4                 OK                  
jmeter_create_issue:fill_and_submit_issue_form                         100.0               0.18                OK                  
jmeter_view_kanban_board                                               100.0               0.2                 OK                  
jmeter_browse_projects                                                 100.0               0.06                OK                  
jmeter_edit_issue:open_editor                                          100.0               0.11                OK                  
jmeter_edit_issue:save_edit                                            100.0               0.28                OK                  
jmeter_view_project_summary                                            100.0               0.13                OK                  
jmeter_add_comment:open_comment                                        100.0               0.08                OK                  
jmeter_add_comment:save_comment                                        100.0               0.27                OK                  
jmeter_browse_boards                                                   100.0               0.08                OK                  
selenium_login:open_login_page                                         100.0               0.14                OK                  
selenium_login:login_and_view_dashboard                                100.0               0.59                OK                  
selenium_login                                                         100.0               0.72                OK                  
selenium_browse_projects_list                                          100.0               0.29                OK                  
selenium_browse_boards_list                                            100.0               0.29                OK                  
selenium_create_issue:open_quick_create                                100.0               0.66                OK                  
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form     100.0               0.61                OK                  
selenium_create_issue:fill_and_submit_issue_form                       100.0               1.16                OK                  
selenium_create_issue                                                  100.0               1.81                OK                  
selenium_edit_issue:open_edit_issue_form                               100.0               0.7                 OK                  
selenium_edit_issue:save_edit_issue_form                               100.0               0.74                OK                  
selenium_edit_issue                                                    100.0               1.68                OK                  
selenium_save_comment:open_comment_form                                100.0               0.48                OK                  
selenium_save_comment:submit_form                                      100.0               0.73                OK                  
selenium_save_comment                                                  100.0               1.28                OK                  
selenium_search_jql                                                    100.0               1.26                OK                  
selenium_view_scrum_board_backlog                                      100.0               1.21                OK                  
selenium_view_scrum_board                                              100.0               0.92                OK                  
selenium_view_kanban_board                                             100.0               1.23                OK                  
selenium_view_dashboard                                                100.0               0.59                OK                  
selenium_view_issue                                                    100.0               0.65                OK                  
selenium_project_summary                                               100.0               0.54                OK                  
selenium_log_out                                                       100.0               0.41                OK                  
