Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,434,456,False
jmeter_view_dashboard,78,85,False
jmeter_view_scrum_board,97,132,False
jmeter_search_jql,512,473,False
jmeter_view_issue,188,172,False
jmeter_view_backlog,301,307,False
jmeter_create_issue:open_quick_create,64,60,False
jmeter_view_kanban_board,168,169,False
jmeter_create_issue:fill_and_submit_issue_form,213,201,False
jmeter_browse_projects,57,56,False
jmeter_edit_issue:open_editor,98,91,False
jmeter_edit_issue:save_edit,312,284,False
jmeter_view_project_summary,98,100,False
jmeter_add_comment:open_comment,61,62,False
jmeter_add_comment:save_comment,302,283,False
jmeter_browse_boards,61,67,False
selenium_login:open_login_page,99,110,False
selenium_login:login_and_view_dashboard,1152,1124,False
selenium_login,1246,1231,False
selenium_browse_projects_list,242,266,False
selenium_browse_boards_list,252,264,False
selenium_create_issue:open_quick_create,659,652,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,609,611,False
selenium_create_issue:fill_and_submit_issue_form,1164,1159,False
selenium_create_issue,1809,1799,False
selenium_edit_issue:open_edit_issue_form,645,649,False
selenium_edit_issue:save_edit_issue_form,688,699,False
selenium_edit_issue,1568,1569,False
selenium_save_comment:open_comment_form,452,464,False
selenium_save_comment:submit_form,758,739,False
selenium_save_comment,1260,1244,False
selenium_search_jql,1224,1126,False
selenium_view_scrum_board_backlog,1164,1174,False
selenium_view_scrum_board,863,897,False
selenium_view_kanban_board,1070,882,False
selenium_view_dashboard,516,609,False
selenium_view_issue,591,599,False
selenium_project_summary,479,466,False
selenium_log_out,323,347,False
